Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Audi Q7,Maro,2015,5.0,Diesel,Automata,SUV,2967.0,272.0,4x4,6.2,5.4,34000
Nissan X-Trail,Alb,2015,7.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,5.8,4.6,12290
Peugeot 3008,Alte culori,2021,5.0,Diesel,Automata,SUV,1499.0,130.0,Fata,4.2,3.6,16990
Porsche Cayenne Coupe,Negru,2021,5.0,Benzina,Automata,SUV,2995.0,340.0,4x4,11.6,7.9,82705
Ford Focus,Alte culori,2009,5.0,Diesel,Manuala,Sedan,1560.0,90.0,Fata,6.2,4.0,3450
BMW X3,Negru,2022,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.2,4.5,35800
BMW Seria 3,Alb,2019,5.0,Benzina,Automata,Sedan,1998.0,184.0,Spate,7.9,5.9,16590
Volkswagen Touareg,Negru,2020,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.7,5.9,33990
Audi A3,Albastru,2020,5.0,Diesel,Manuala,Sedan,1968.0,116.0,Fata,4.2,3.6,20990
BMW Seria 3,Negru,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.9,4.3,26989
BMW Seria 7,Gri,2021,4.0,Diesel,Automata,Sedan,2993.0,340.0,4x4,6.8,5.4,72590
Volvo XC 40,Alb,2019,5.0,Diesel,Automata,SUV,1969.0,150.0,Fata,6.3,4.4,18000
BMW X5,Gri,2018,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,7.1,5.7,31000
Mercedes-Benz V,Negru,2017,7.0,Diesel,Automata,Monovolum,2143.0,190.0,Spate,7.1,6.6,38900
Volvo XC 60,Albastru,2018,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.8,4.7,29989
Ford Focus,Gri,2020,5.0,Benzina,Manuala,Sedan,999.0,100.0,Fata,5.9,4.1,9990
Toyota RAV4,Argint,2012,5.0,Diesel,Manuala,SUV,2231.0,150.0,4x4,7.5,5.2,10500
BMW Seria 7,Negru,2016,5.0,Diesel,Automata,Sedan,2993.0,320.0,4x4,6.3,5.0,24990
Seat Leon,Gri,2016,5.0,Diesel,Automata,Sedan,1968.0,184.0,4x4,5.8,4.5,13500
Audi A4,Gri,2021,5.0,Diesel,Automata,Sedan,1968.0,204.0,4x4,5.4,4.0,30928
Volvo XC 90,Alte culori,2020,5.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.4,5.1,40900
Mercedes-Benz GLC,Albastru,2018,5.0,Diesel,Automata,SUV,2143.0,204.0,4x4,6.9,5.4,19990
Volkswagen Passat CC,Alte culori,2012,5.0,Benzina,Automata,Sedan,1798.0,160.0,Fata,9.8,5.8,9990
Audi Q5,Negru,2020,5.0,Hibrid,Automata,SUV,1984.0,252.0,4x4,5.4,4.8,33950
Mercedes-Benz V,Gri,2019,7.0,Diesel,Automata,Monovolum,1950.0,239.0,Spate,6.4,5.6,44998
Toyota RAV4,Negru,2018,5.0,Hibrid,Automata,SUV,2494.0,155.0,4x4,5.1,4.9,21896
Kia Sportage,Albastru,2021,5.0,Diesel,Automata,SUV,1598.0,136.0,Fata,4.6,4.4,18998
Nissan Qashqai,Negru,2017,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.6,4.6,13490
Peugeot 3008,Alb,2020,5.0,Diesel,Automata,SUV,1499.0,130.0,Fata,4.5,3.8,19997
Volkswagen Tiguan,Gri,2013,5.0,Diesel,Manuala,SUV,1968.0,140.0,Fata,6.2,4.7,9999
Renault Kadjar,Gri,2017,5.0,Diesel,Automata,SUV,1461.0,110.0,Fata,3.8,3.8,12990
BMW X3,Maro,2017,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,26490
Skoda Karoq,Alb,2019,5.0,Diesel,Automata,SUV,1598.0,116.0,Fata,4.4,4.1,17200
Skoda Karoq,Gri,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.6,4.2,25950
Volkswagen Passat Alltrack,Albastru,2016,4.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.0,4.7,15750
Toyota C-HR,Albastru,2017,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,4.8,4.6,15990
Renault Captur,Alte culori,2016,5.0,Benzina,Manuala,SUV,898.0,90.0,Fata,6.0,4.3,9990
Renault Megane,Negru,2013,5.0,Diesel,Manuala,Sedan,1461.0,105.0,Fata,5.5,4.0,5390
Renault Megane,Albastru,2019,5.0,Diesel,Manuala,Sedan,1461.0,95.0,Fata,4.4,3.6,10790
Mercedes-Benz E,Negru,2020,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,6.1,4.5,36989
Mercedes-Benz GLE Coupe,Rosu,2016,5.0,Benzina,Automata,SUV,2996.0,367.0,4x4,13.7,8.7,31990
Mercedes-Benz GLC,Negru,2021,5.0,Hibrid,Automata,SUV,1950.0,194.0,4x4,5.9,4.9,37750
