Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Skoda Karoq,Gri,2019,5.0,Benzina,Automata,SUV,999.0,115.0,Fata,5.7,4.7,13999
BMW X4,Negru,2016,5.0,Diesel,Automata,SUV,2993.0,313.0,4x4,6.7,5.5,22500
Jeep Compass,Alb,2019,5.0,Diesel,Automata,SUV,1956.0,140.0,4x4,6.6,5.1,15490
Peugeot 508,Negru,2018,5.0,Diesel,Automata,Sedan,1560.0,120.0,Fata,4.7,3.8,12900
Nissan Qashqai,Negru,2016,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.6,4.6,11290
Mercedes-Benz ML,Negru,2015,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,20999
Skoda Octavia,Alte culori,2011,5.0,Diesel,Automata,Sedan,1968.0,170.0,Fata,7.9,4.9,6800
Renault Grand Scenic,Rosu,2013,5.0,Diesel,Manuala,Monovolum,1598.0,130.0,Fata,5.3,4.2,6890
Renault Talisman,Argint,2019,5.0,Diesel,Manuala,Sedan,1749.0,120.0,Fata,5.5,4.8,12200
Audi A4,Negru,2019,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.1,4.0,21000
Ford Kuga,Negru,2017,5.0,Diesel,Automata,SUV,1997.0,150.0,4x4,5.5,4.9,15490
Peugeot 308,Maro,2015,5.0,Benzina,Manuala,Compact,1199.0,130.0,Fata,5.7,3.8,6950
Volvo XC 60,Alb,2011,5.0,Diesel,Automata,SUV,2400.0,205.0,Fata,8.8,5.0,11499
Renault Talisman,Gri,2016,5.0,Benzina,Automata,Sedan,1618.0,200.0,Fata,7.8,4.9,16000
Audi A4,Alb,2017,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.2,4.1,17800
Volkswagen Golf,Albastru,2010,5.0,Benzina,Automata,Compact,1390.0,122.0,Fata,7.7,5.0,6990
BMW X6,Negru,2015,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,6.8,5.6,25000
Opel Astra,Negru,2011,5.0,Diesel,Manuala,Sedan,1956.0,160.0,Fata,6.5,4.2,3400
Renault Clio,Alb,2012,5.0,Diesel,Manuala,Sedan,1461.0,90.0,Fata,4.3,3.2,2800
Honda Civic,Rosu,2010,5.0,Benzina,Manuala,Compact,1339.0,100.0,Fata,6.7,4.8,6200
Nissan Qashqai,Gri,2012,5.0,Diesel,Manuala,SUV,1598.0,130.0,4x4,6.2,4.7,7000
Audi A5,Negru,2010,5.0,Benzina,Automata,Sedan,1984.0,211.0,4x4,9.4,6.4,7000
BMW Seria 5,Gri,2020,5.0,Hibrid,Automata,Sedan,1998.0,184.0,Spate,7.1,5.0,32900
Mercedes-Benz GLC,Argint,2017,5.0,Diesel,Automata,SUV,2143.0,204.0,4x4,6.9,5.4,24900
Mercedes-Benz C,Gri,2017,5.0,Diesel,Automata,Sedan,2143.0,136.0,Spate,5.3,3.8,14799
BMW X3,Negru,2019,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,31300
Mercedes-Benz GLE Coupe,Alb,2016,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,8.8,7.2,39900
Ford Fiesta,Negru,2014,5.0,Benzina,Automata,Compact,998.0,100.0,Fata,7.7,5.0,6400
Toyota Corolla,Gri,2018,5.0,Benzina,Automata,Sedan,1598.0,132.0,Fata,7.3,4.6,13490
Audi Q5,Albastru,2012,5.0,Diesel,Automata,SUV,1968.0,170.0,4x4,8.8,5.9,13650
Volkswagen Passat Alltrack,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.1,4.8,18900
Audi A4,Negru,2020,5.0,Diesel,Automata,Sedan,1968.0,163.0,Fata,4.2,3.4,23443
Suzuki Swift,Rosu,2014,5.0,Benzina,Manuala,Compact,1242.0,94.0,Fata,6.1,4.4,6500
Volkswagen Touareg,Alb,2013,5.0,Diesel,Automata,SUV,2967.0,245.0,4x4,8.4,6.5,11990
Mercedes-Benz GLA,Negru,2015,5.0,Diesel,Automata,Compact,2143.0,136.0,4x4,5.8,4.3,15990
BMW X3,Alb,2011,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,10990
Nissan Qashqai,Negru,2008,5.0,Benzina,Manuala,SUV,1598.0,114.0,Fata,8.3,5.6,5490
Mercedes-Benz GLE,Gri,2016,5.0,Diesel,Automata,SUV,2143.0,204.0,4x4,7.8,5.3,24999
Mercedes-Benz S,Negru,2016,5.0,Benzina,Automata,Sedan,4663.0,455.0,4x4,12.7,6.8,33590
Ford Mondeo,Alb,2020,5.0,Diesel,Automata,Sedan,1997.0,190.0,4x4,6.3,4.9,20790
Renault Megane,Alb,2019,5.0,Benzina,Manuala,Compact,1332.0,116.0,Fata,7.0,4.5,10500
Skoda Octavia,Negru,2019,5.0,Benzina,Automata,Sedan,999.0,115.0,Fata,5.6,4.5,10980
Volkswagen Golf,Gri,2016,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.2,4.0,9950
BMW X5,Alb,2020,5.0,Benzina,Automata,SUV,2998.0,340.0,4x4,10.4,7.4,63070
Mini ONE,Alte culori,2012,4.0,Diesel,Manuala,Compact,1598.0,90.0,Fata,4.2,3.5,5500
Mercedes-Benz B,Albastru,2016,5.0,Diesel,Automata,Compact,1461.0,109.0,Fata,4.6,3.6,8800
Mini Countryman,Maro,2013,5.0,Diesel,Automata,SUV,1995.0,143.0,4x4,7.5,5.0,9950
Volkswagen Passat,Albastru,2007,5.0,Diesel,Manuala,Sedan,1968.0,140.0,Fata,7.3,4.7,3300
Audi Q7,Argint,2021,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.2,6.3,53900
Toyota Auris,Gri,2018,5.0,Hibrid,Automata,Compact,1798.0,99.0,Fata,3.8,3.8,13999
Volkswagen Caravelle,Alte culori,2019,8.0,Diesel,Manuala,Monovolum,1968.0,150.0,Fata,8.5,6.1,25585
Renault Kadjar,Gri,2017,5.0,Diesel,Manuala,SUV,1461.0,110.0,Fata,4.1,3.6,11650
Seat Leon,Gri,2015,5.0,Diesel,Automata,Compact,1968.0,184.0,Fata,5.8,4.2,11750
Audi A8,Negru,2014,5.0,Diesel,Automata,Sedan,2967.0,258.0,4x4,7.3,5.1,19480
Renault Megane,Gri,2014,5.0,Diesel,Manuala,Compact,1461.0,110.0,Fata,3.9,3.2,6200
Toyota RAV4,Alb,2017,5.0,Hibrid,Automata,SUV,2494.0,155.0,4x4,5.1,4.9,18900
BMW Seria 5,Albastru,2017,5.0,Diesel,Automata,Sedan,2993.0,265.0,4x4,6.0,4.9,24599
BMW X5,Negru,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.7,5.4,44750
Ford Kuga,Albastru,2019,5.0,Benzina,Automata,SUV,1499.0,182.0,4x4,9.3,6.2,17390
BMW Seria 5,Albastru,2011,5.0,Diesel,Manuala,Sedan,1995.0,184.0,Spate,6.2,4.5,6950
Dacia Lodgy,Negru,2018,7.0,Benzina,Manuala,Monovolum,1197.0,115.0,Fata,6.6,4.8,9850
BMW Seria 3,Albastru,2014,5.0,Diesel,Automata,Sedan,1995.0,143.0,Spate,5.7,4.4,12500
Peugeot 207,Albastru,2008,5.0,Benzina,Manuala,Sport,1360.0,90.0,Fata,8.5,5.2,5000
Volkswagen Golf,Negru,2012,5.0,Benzina,Manuala,Compact,1390.0,160.0,Fata,8.4,5.3,6990
Mercedes-Benz ML,Negru,2011,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,15000
Audi Q7,Alte culori,2008,5.0,Diesel,Automata,SUV,2967.0,239.0,4x4,12.9,8.1,18000
Volvo XC 60,Gri,2021,5.0,Diesel,Automata,SUV,1969.0,197.0,4x4,8.5,5.3,34678
Opel Insignia,Albastru,2019,5.0,Benzina,Manuala,Sedan,1490.0,165.0,Fata,7.2,4.8,13250
Mercedes-Benz ML,Negru,2013,5.0,Diesel,Automata,SUV,2143.0,204.0,4x4,6.7,5.3,16400
Audi Q7,Alb,2011,5.0,Diesel,Automata,SUV,2967.0,204.0,4x4,8.6,6.7,13850
Mazda CX-5,Albastru,2018,5.0,Benzina,Automata,SUV,2488.0,194.0,4x4,8.8,6.3,27000
Audi SQ5,Alb,2014,5.0,Diesel,Automata,SUV,2967.0,313.0,4x4,7.6,6.4,17000
Opel Corsa,Albastru,2019,5.0,Benzina,Automata,Compact,1398.0,90.0,Fata,7.8,4.9,9050
Skoda Fabia,Negru,2013,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.1,3.6,4450
Seat Ibiza,Alte culori,2011,5.0,Benzina,Manuala,Compact,1390.0,85.0,Fata,8.0,4.7,3690
BMW Seria 7,Negru,2018,5.0,Diesel,Automata,Sedan,2993.0,320.0,4x4,6.9,4.9,28000
BMW Seria 1,Negru,2012,5.0,Diesel,Manuala,Compact,1995.0,184.0,Spate,5.6,3.9,6990
Ford Kuga,Alb,2014,5.0,Diesel,Automata,SUV,1997.0,140.0,4x4,6.6,6.0,10799
BMW X6,Negru,2017,5.0,Diesel,Automata,SUV,2993.0,313.0,4x4,7.1,5.8,30900
Opel Astra,Gri,2010,5.0,Benzina,Manuala,Compact,1364.0,140.0,Fata,7.8,4.7,5790
Ford Mondeo,Negru,2015,5.0,Diesel,Manuala,Sedan,1997.0,150.0,4x4,5.6,4.5,9350
Renault Scenic,Alte culori,2015,5.0,Diesel,Automata,Monovolum,1461.0,110.0,Fata,5.4,4.3,7299
Toyota Prius,Argint,2010,5.0,Hibrid,Automata,Compact,1798.0,99.0,Fata,4.0,3.8,7300
BMW Seria 1,Negru,2017,5.0,Diesel,Automata,Sedan,1995.0,150.0,Spate,4.8,4.0,12650
Toyota RAV4,Maro,2016,5.0,Hibrid,Automata,SUV,2494.0,155.0,Fata,5.0,5.0,17900
Hyundai Tucson,Gri,2021,5.0,Hibrid,Automata,SUV,1598.0,180.0,4x4,6.6,4.7,31416
Peugeot 308,Alb,2012,5.0,Diesel,Manuala,Compact,1560.0,92.0,Fata,4.5,3.4,5700
Volkswagen Golf,Gri,2016,5.0,Benzina,Manuala,Compact,1395.0,125.0,Fata,6.7,4.3,9999
Volkswagen T-ROC,Maro,2019,5.0,Benzina,Automata,SUV,1498.0,149.0,Fata,6.6,4.6,21490
BMW X1,Albastru,2019,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.8,23443
Volvo XC 90,Gri,2016,5.0,Diesel,Automata,SUV,1969.0,225.0,4x4,6.2,5.4,24990
Volkswagen Golf,Negru,2009,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,9.4,5.5,3690
Skoda Superb,Negru,2018,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.3,3.9,24990
Toyota C-HR,Negru,2021,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,3.5,4.1,19902
Dacia Duster,Alb,2019,5.0,Benzina,Manuala,SUV,1598.0,114.0,Fata,7.7,5.7,12500
BMW Seria 5,Gri,2010,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,6.2,5.0,10599
Volkswagen Polo,Argint,2011,5.0,Diesel,Manuala,Compact,1199.0,75.0,Fata,4.6,3.2,4250
Volkswagen Tiguan,Negru,2009,5.0,Diesel,Manuala,SUV,1968.0,170.0,4x4,8.8,6.0,5490
BMW Seria 5,Negru,2014,5.0,Diesel,Automata,Sedan,1995.0,184.0,4x4,6.1,4.7,12400
Volvo V60,Albastru,2012,5.0,Diesel,Manuala,Sedan,1560.0,115.0,Fata,5.2,4.1,4890
Porsche Macan,Argint,2023,5.0,Benzina,Automata,SUV,1984.0,265.0,4x4,10.8,7.6,66500
Audi A3,Maro,2014,5.0,Diesel,Automata,Compact,1968.0,150.0,Fata,5.2,4.0,10700
Volkswagen Touran,Gri,2004,6.0,Diesel,Manuala,Monovolum,1968.0,140.0,Fata,7.6,5.2,2990
Audi A3,Albastru,2019,5.0,Benzina,Automata,Compact,999.0,116.0,Fata,5.4,4.0,13898
Skoda Octavia,Gri,2018,5.0,Diesel,Automata,Sedan,1598.0,116.0,Fata,4.1,3.7,9990
Volvo XC 90,Negru,2019,6.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.7,5.6,32400
Toyota Avensis,Alb,2011,5.0,Benzina,Manuala,Sedan,1598.0,132.0,Fata,8.0,5.1,7750
Renault Grand Scenic,Gri,2019,7.0,Diesel,Automata,Monovolum,1750.0,150.0,Fata,5.7,4.3,13990
Volkswagen Touran,Negru,2019,7.0,Diesel,Automata,Monovolum,1598.0,115.0,Fata,6.5,5.1,13000
Volkswagen Tiguan,Gri,2010,5.0,Diesel,Manuala,SUV,1968.0,140.0,Fata,6.9,5.1,10200
Volvo XC 90,Negru,2020,5.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.4,5.1,37900
Dacia Duster,Alb,2012,5.0,Benzina,Manuala,SUV,1598.0,105.0,4x4,10.4,7.0,6150
Opel Corsa,Gri,2007,5.0,Benzina,Manuala,Compact,1229.0,80.0,Fata,8.0,5.0,2490
Mercedes-Benz ML,Maro,2014,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,16500
Ford Transit Connect,Alb,2019,5.0,Diesel,Manuala,Monovolum,1498.0,120.0,Fata,4.9,4.4,13500
Opel Astra,Gri,2011,5.0,Diesel,Manuala,Compact,1686.0,125.0,Fata,6.8,4.6,4300
Audi Q5,Gri,2018,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,5.3,4.7,22600
Skoda Fabia,Gri,2014,5.0,Benzina,Manuala,Sedan,1198.0,70.0,Fata,6.0,4.0,5990
BMW Seria 5,Maro,2009,5.0,Diesel,Automata,Sedan,1995.0,177.0,Spate,7.7,4.7,5999
Seat Leon,Gri,2015,5.0,Diesel,Manuala,Compact,1968.0,150.0,Fata,5.4,3.7,7990
Audi A7,Gri,2012,5.0,Diesel,Automata,Sedan,2967.0,204.0,Fata,5.9,4.7,13400
Audi A4,Gri,2005,5.0,Diesel,Manuala,Sedan,1896.0,116.0,Fata,7.6,4.6,3990
Volkswagen Golf Plus,Negru,2008,5.0,Benzina,Manuala,Compact,1390.0,122.0,Fata,8.4,5.4,3490
Volkswagen Polo,Alb,2012,5.0,Benzina,Manuala,Compact,1197.0,105.0,Fata,9.7,5.3,5690
Ford Mondeo,Albastru,2020,5.0,Diesel,Automata,Sedan,1997.0,190.0,Fata,5.3,4.4,21290
BMW Seria 3,Alb,2012,5.0,Benzina,Automata,Sedan,1997.0,245.0,Spate,7.4,4.9,14500
Audi Q5,Gri,2018,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,5.8,5.2,23490
Ford Kuga,Gri,2018,5.0,Diesel,Automata,SUV,1997.0,180.0,4x4,5.5,4.9,18900
Hyundai i30,Negru,2018,5.0,Diesel,Automata,Sedan,1598.0,136.0,Fata,4.6,4.3,13950
Citroën C4 Cactus,Gri,2015,5.0,Diesel,Manuala,SUV,1560.0,99.0,Fata,4.2,3.3,6500
Mercedes-Benz GLC,Gri,2016,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.8,5.4,22499
Mercedes-Benz A,Gri,2006,5.0,Benzina,Manuala,Compact,1498.0,95.0,Fata,7.4,5.1,2999
BMW X4,Gri,2015,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.2,4.5,21700
Renault Megane,Negru,2013,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,4.5,3.6,5990
Audi Q5,Negru,2011,5.0,Diesel,Automata,SUV,1968.0,177.0,4x4,8.8,5.6,12350
Volkswagen Golf,Gri,2003,5.0,Benzina,Manuala,Compact,1595.0,100.0,Fata,10.5,5.9,1950
Volkswagen Golf,Gri,2012,5.0,Diesel,Manuala,Compact,1598.0,105.0,Fata,5.5,4.0,6600
Volvo V40,Argint,2013,5.0,Diesel,Manuala,Compact,1560.0,115.0,Fata,4.1,3.6,7700
Volkswagen Transporter,Negru,2014,6.0,Diesel,Manuala,Monovolum,1968.0,140.0,4x4,10.4,7.1,13500
Nissan Juke,Rosu,2012,5.0,Benzina,Manuala,SUV,1618.0,190.0,Fata,7.6,5.1,7450
Renault Clio,Negru,2013,5.0,Benzina,Manuala,Sedan,898.0,90.0,Fata,6.3,4.2,1880
Volkswagen Tiguan,Alb,2017,5.0,Benzina,Automata,SUV,1498.0,150.0,Fata,6.9,4.9,21500
Porsche Panamera,Alte culori,2016,4.0,Diesel,Automata,Compact,3956.0,422.0,4x4,7.9,5.8,43500
Porsche Panamera,Negru,2014,4.0,Diesel,Automata,Sedan,2967.0,300.0,Fata,7.7,5.6,29990
Skoda Kodiaq,Gri,2020,5.0,Diesel,Automata,SUV,1968.0,200.0,4x4,6.6,4.9,25000
Opel Zafira,Argint,2012,6.0,Diesel,Manuala,Monovolum,1956.0,165.0,Fata,5.4,4.2,4880
Nissan Navara,Albastru,2019,5.0,Diesel,Manuala,SUV,2298.0,163.0,4x4,7.7,7.5,14990
Renault Grand Scenic,Alb,2014,6.0,Diesel,Manuala,Monovolum,1598.0,130.0,Fata,5.1,4.0,4790
Volkswagen Passat CC,Negru,2012,4.0,Diesel,Automata,Sedan,1968.0,140.0,Fata,5.8,4.0,11990
Mercedes-Benz E,Argint,2016,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,26900
Honda Civic,Alb,2019,4.0,Benzina,Manuala,Compact,1996.0,320.0,Fata,9.8,6.5,35700
Porsche Cayenne,Negru,2013,5.0,Diesel,Automata,SUV,2967.0,245.0,4x4,8.4,6.5,23490
Skoda Superb,Negru,2013,5.0,Diesel,Automata,Sedan,1968.0,170.0,Fata,7.6,5.1,6990
Alfa Romeo Giulietta,Rosu,2014,5.0,Diesel,Automata,Compact,1956.0,175.0,Fata,5.1,3.8,7999
Renault Megane,Alb,2018,5.0,Benzina,Manuala,Sedan,1197.0,132.0,Fata,6.7,4.6,8990
Mercedes-Benz E,Alte culori,2008,5.0,Diesel,Automata,Sedan,2148.0,136.0,Spate,10.3,5.9,5950
Ford Mondeo,Gri,2008,5.0,Diesel,Manuala,Compact,1998.0,115.0,Fata,8.1,4.8,2750
BMW Seria 4,Maro,2016,5.0,Diesel,Automata,Sedan,1995.0,143.0,Spate,5.6,4.1,13990
Opel Crossland,Alte culori,2019,5.0,Diesel,Manuala,SUV,1499.0,102.0,Fata,4.7,3.5,10490
Mercedes-Benz GLC,Gri,2016,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.8,5.4,22990
Audi Q5,Negru,2016,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,5.3,4.8,16690
Volkswagen Golf,Negru,2011,5.0,Benzina,Automata,Compact,1390.0,122.0,Fata,8.3,5.3,7280
Audi A6,Albastru,2015,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.1,3.9,15990
BMW X3,Alte culori,2012,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,12400
Cupra Formentor,Gri,2020,5.0,Benzina,Automata,SUV,1984.0,310.0,4x4,9.6,6.5,25500
Ford Kuga,Gri,2015,5.0,Diesel,Manuala,SUV,1997.0,163.0,4x4,7.2,5.1,10999
Peugeot 2008,Gri,2016,5.0,Benzina,Manuala,Compact,1199.0,110.0,Fata,5.8,4.0,7600
Volkswagen Tiguan,Alb,2016,5.0,Diesel,Manuala,SUV,1968.0,140.0,Fata,7.5,5.1,10400
Skoda Octavia,Alb,2012,5.0,Diesel,Automata,Sedan,1598.0,105.0,Fata,5.6,4.2,6990
Renault Laguna,Gri,2011,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,4.9,3.7,4990
Toyota Avensis,Albastru,2015,5.0,Diesel,Manuala,Sedan,1995.0,143.0,Fata,5.7,4.0,9790
Ford Fiesta,Alb,2016,5.0,Diesel,Manuala,Compact,1498.0,75.0,Fata,4.4,3.3,4600
Toyota Aygo,Alb,2019,4.0,Benzina,Manuala,Compact,998.0,72.0,Fata,4.9,3.6,5950
Volkswagen Passat,Albastru,2019,5.0,Diesel,Manuala,Sedan,1968.0,150.0,Fata,5.4,3.5,12990
Mercedes-Benz GLE Coupe,Gri,2021,5.0,Diesel,Automata,SUV,2925.0,272.0,4x4,8.5,5.9,79900
Opel Corsa,Argint,2009,5.0,Benzina,Automata,Compact,1229.0,80.0,Fata,8.8,5.8,4450
Audi A4,Alb,2011,5.0,Diesel,Manuala,Sedan,1968.0,170.0,Fata,7.4,4.7,7400
Volkswagen Phaeton,Negru,2010,5.0,Diesel,Automata,Sedan,2967.0,240.0,4x4,11.6,6.7,11000
Seat Ibiza,Negru,2012,5.0,Benzina,Manuala,Compact,1198.0,70.0,Fata,7.1,4.4,4099
Toyota C-HR,Alb,2019,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,4.8,4.4,21750
Mazda 6,Maro,2009,5.0,Diesel,Manuala,Sedan,2184.0,185.0,Fata,7.2,4.8,4300
Dacia Logan,Alb,2018,5.0,Diesel,Manuala,Sedan,1461.0,75.0,Fata,4.1,3.4,8250
Renault Talisman,Alte culori,2016,5.0,Diesel,Automata,Sedan,1598.0,160.0,Fata,5.1,4.3,14800
Peugeot 308,Gri,2019,5.0,Benzina,Automata,Sedan,1199.0,130.0,Fata,6.3,4.9,10290
Renault Scenic,Alte culori,2008,5.0,Benzina,Automata,Monovolum,1598.0,110.0,Fata,9.3,6.0,2850
Renault Captur,Rosu,2014,5.0,Benzina,Manuala,SUV,898.0,90.0,Fata,6.0,4.3,9990
Ford Focus,Negru,2021,5.0,Diesel,Manuala,Sedan,1499.0,120.0,Fata,4.1,3.5,9999
Peugeot 208,Rosu,2017,5.0,Benzina,Manuala,Compact,1199.0,110.0,Fata,5.8,3.9,7600
Dacia Sandero Stepway,Rosu,2016,5.0,Benzina,Manuala,Compact,898.0,90.0,Fata,6.7,5.0,6000
Skoda Kodiaq,Alb,2018,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.4,5.1,20990
Volkswagen Passat Alltrack,Alb,2013,5.0,Diesel,Automata,Sedan,1968.0,177.0,4x4,7.0,5.3,9650
BMW Seria 5,Albastru,2015,5.0,Diesel,Automata,Sedan,2993.0,258.0,4x4,6.6,5.0,20300
BMW M3,Gri,2021,5.0,Benzina,Automata,Sedan,2993.0,510.0,Spate,14.6,7.6,68999
Audi A5,Negru,2009,4.0,Diesel,Automata,Sport,2698.0,190.0,Fata,8.0,5.6,6750
Audi A4,Albastru,2016,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.9,4.5,18990
Audi S6,Albastru,2014,5.0,Benzina,Automata,Compact,3993.0,420.0,4x4,13.4,7.5,19000
BMW Seria 5,Negru,2017,5.0,Benzina,Automata,Sedan,2998.0,340.0,4x4,8.9,6.1,23395
BMW X3,Alte culori,2014,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,6.5,5.6,15780
Mazda CX-5,Gri,2015,5.0,Diesel,Automata,SUV,2191.0,175.0,4x4,6.4,5.3,14000
Volkswagen Caddy,Alte culori,2013,4.0,Benzina,Manuala,Monovolum,1198.0,86.0,Fata,8.1,6.0,6690
Audi Q5,Negru,2019,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,5.9,5.2,31500
Lexus Seria RX,Maro,2016,5.0,Hibrid,Automata,SUV,3456.0,262.0,4x4,5.5,5.5,34900
Audi A5,Gri,2011,5.0,Diesel,Automata,Sedan,1968.0,143.0,Fata,5.7,4.4,10200
Volkswagen Golf,Negru,2010,5.0,Benzina,Manuala,Compact,1395.0,122.0,Fata,7.7,5.1,4850
BMW Seria 5,Negru,2012,5.0,Diesel,Automata,Sedan,1995.0,218.0,4x4,6.9,4.7,8800
Ford Fiesta,Alb,2011,5.0,Diesel,Manuala,Compact,1560.0,95.0,Fata,4.9,3.6,2990
Volkswagen Golf,Negru,2010,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,7.7,5.1,5650
Audi A6,Gri,2015,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.3,4.1,16490
BMW X5,Negru,2021,5.0,Benzina,Automata,SUV,2998.0,340.0,4x4,10.4,7.4,59989
Ford Transit,Gri,2015,3.0,Diesel,Manuala,Monovolum,2198.0,125.0,Spate,8.4,6.6,11390
Nissan Qashqai,Alte culori,2007,5.0,Diesel,Manuala,SUV,1461.0,106.0,Fata,6.0,4.8,5500
Volkswagen Polo,Alte culori,2009,5.0,Benzina,Manuala,Compact,1390.0,80.0,Fata,8.9,5.3,3750
Kia Ceed,Albastru,2019,5.0,Benzina,Manuala,Compact,998.0,120.0,Fata,6.3,4.5,11989
Volkswagen Golf Plus,Gri,2011,5.0,Benzina,Manuala,Compact,1197.0,105.0,Fata,7.2,4.9,4350
Mercedes-Benz E,Negru,2014,5.0,Diesel,Automata,Sedan,2143.0,136.0,Spate,5.6,4.0,12990
Ford Fiesta,Albastru,2019,5.0,Benzina,Manuala,Compact,1084.0,85.0,Fata,5.6,3.7,9250
Audi A5,Alb,2013,5.0,Benzina,Manuala,Sport,1798.0,170.0,Fata,7.9,5.1,11990
BMW X3,Alb,2011,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,11489
Volkswagen Tiguan,Alte culori,2018,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.7,4.3,21250
Mercedes-Benz S,Negru,2023,5.0,Benzina,Automata,Sedan,2999.0,435.0,4x4,11.0,6.0,136850
Volkswagen Touareg,Gri,2021,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.7,5.9,37366
Volkswagen Golf,Negru,2011,5.0,Benzina,Manuala,Compact,1390.0,122.0,Fata,8.2,5.1,5700
BMW X5,Alb,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.8,5.6,48000
Land Rover Range Rover Sport,Maro,2017,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,7.8,6.4,24990
Ford Focus,Alb,2020,5.0,Benzina,Manuala,Sedan,999.0,125.0,Fata,5.4,4.2,11990
Volkswagen Golf,Negru,2010,5.0,Benzina,Manuala,Compact,1390.0,122.0,Fata,8.2,5.1,5500
Porsche Cayenne,Negru,2016,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.8,6.2,35750
Ford Ranger,Rosu,2019,5.0,Diesel,Manuala,SUV,2198.0,160.0,4x4,8.2,6.4,15999
BMW X5,Alb,2016,5.0,Diesel,Automata,SUV,2993.0,313.0,4x4,7.2,5.8,27600
Renault Megane,Albastru,2009,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,5.5,4.0,3250
Renault Megane,Maro,2014,5.0,Benzina,Manuala,Sedan,1197.0,132.0,Fata,6.7,4.6,6190
Renault Scenic,Alb,2015,5.0,Benzina,Manuala,Monovolum,1197.0,132.0,Fata,7.2,5.0,6690
Toyota Land Cruiser,Gri,2003,8.0,Diesel,Manuala,SUV,2982.0,163.0,4x4,11.6,8.2,11499
Ford Kuga,Alb,2020,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.6,4.3,17900
Volkswagen Golf,Negru,2010,5.0,Benzina,Manuala,Compact,1395.0,122.0,Fata,6.9,4.4,5650
Volkswagen up!,Gri,2013,4.0,Benzina,Manuala,Compact,999.0,60.0,Fata,4.9,3.7,3650
BMW X7,Negru,2021,7.0,Diesel,Automata,SUV,2993.0,340.0,4x4,7.5,5.7,65926
Mercedes-Benz Vito,Alb,2018,2.0,Diesel,Manuala,Monovolum,2143.0,163.0,Spate,7.4,6.2,17988
Mercedes-Benz CLS,Alb,2012,5.0,Diesel,Automata,Sport,2987.0,265.0,4x4,8.8,5.6,12500
